COMPANY_FKEY,bank_event
0000947156,2002-12-20
0000947268,2001-05-23
0000947397,2011-08-15
0000947425,2010-08-20
0000947429,2004-03-24
0000947431,2004-01-30
0000948073,2000-03-15
0000948087,2000-12-05
0000948590,2004-06-02
0000948844,2009-07-02
0000948945,2001-10-31
0000949039,2020-04-26
0000949228,2010-05-14
0000949240,2012-02-05
0000949485,2006-10-02
0000949493,2012-05-14
0000949876,2009-03-11
0001000179,2002-07-15
0001000234,2009-12-18
0001000285,2008-11-04
0001000368,2009-06-23
0001000577,2002-02-25
0001000578,2002-07-30
0001000695,2006-07-20
0001000779,2009-09-24
0001000876,2002-07-24
